,PARKING_SPACE_ID,POST_ID,STREET_NAME,shape
3692,131786,701-14250,VAN NESS AVE,POINT (-122.42223 37.789173)
3695,131545,831-06420,EMBARCADERO SOUTH,POINT (-122.388374 37.78318)
3696,131595,658-00070,SPEAR ST,POINT (-122.3953 37.793636)
3697,144641,208-03290,08TH ST,POINT (-122.409096 37.7743)
3698,134550,386-00190,DRUMM ST,POINT (-122.39662 37.79425)
3699,132786,844-00040,HOWARD ST,POINT (-122.39152 37.79219)
3701,136571,651-07160,SANSOME ST,POINT (-122.40187 37.79715)
3702,137354,330-05810,BRANNAN ST,POINT (-122.39822 37.77685)
3703,134712,830-07140,EMBARCADERO NORTH,POINT (-122.39976 37.801907)
3705,136384,364-05090,COMMERCIAL ST,POINT (-122.40184 37.794334)
3706,154889,593-01220,OFARRELL ST,POINT (-122.40715 37.786583)
3707,134781,616-12110,POWELL ST,POINT (-122.41004 37.795944)
3708,135559,324-06190,BATTERY ST,POINT (-122.40086 37.797325)
3710,136830,359-05344,CLAY ST,POINT (-122.40267 37.794796)
3711,138662,330-06060,BRANNAN ST,POINT (-122.399 37.776447)
3712,154513,525-00403,KAPLAN LN,POINT (-122.39919 37.784958)
3713,163699,202-00390,02ND ST,POINT (-122.401 37.789074)
3715,144049,412-01350,FERN ST,POINT (-122.42133 37.788044)
3716,144185,666-08120,SUTTER ST,POINT (-122.41404 37.78859)
3717,140152,203-01570,03RD ST,POINT (-122.400635 37.785263)
3718,132044,612-12270,POLK ST,POINT (-122.420296 37.7883)
3720,132575,471-00110,HARRISON ST,POINT (-122.38888 37.789124)
3721,138529,204-11390,04TH ST,POINT (-122.39127 37.773174)
3722,139332,614-00020,POST ST,POINT (-122.40218 37.789127)
3725,137835,684-01160,TOWNSEND ST,POINT (-122.39124 37.780148)
3728,136073,671-01080,SOUTH PARK,POINT (-122.39478 37.781017)
3729,163739,440-01220,GEARY ST,POINT (-122.405975 37.787693)
3730,133976,720-00060,WASHINGTON ST,POINT (-122.39603 37.79663)
3731,163839,210-03150,10TH ST,POINT (-122.41233 37.77254)
3732,136137,500-01180,JACKSON ST,POINT (-122.39918 37.797035)
3733,134285,445-01110,GREEN ST,POINT (-122.40186 37.80034)
3734,134401,201-03060,01ST ST,POINT (-122.39426 37.787006)
3735,135355,670-01070,STILLMAN ST,POINT (-122.396545 37.781548)
3736,134900,606-00050,PINE ST,POINT (-122.39772 37.79245)
3739,162511,500-07380,JACKSON ST,POINT (-122.40782 37.795914)
3740,136100,500-02250,JACKSON ST,POINT (-122.400314 37.796772)
3742,134621,568-02335,MISSION ST,POINT (-122.39541 37.79134)
3743,163708,401-02240,ELLIS ST,POINT (-122.41038 37.785225)
3745,134976,324-11240,BATTERY ST,POINT (-122.401566 37.801586)
3746,132952,658-00249,SPEAR ST,POINT (-122.39513 37.793293)
3747,136970,418-08170,FOLSOM ST,POINT (-122.4015 37.78162)
3748,133289,658-00488,SPEAR ST,POINT (-122.394806 37.793037)
3749,154549,520-03210,KEARNY ST,POINT (-122.40427 37.79153)
3750,153482,440-01120,GEARY ST,POINT (-122.405624 37.78774)
3751,144083,350-15250,CALIFORNIA ST,POINT (-122.41973 37.790607)
3752,133392,422-02180,FRONT ST,POINT (-122.39875 37.79363)
3753,138272,684-04056,TOWNSEND ST,POINT (-122.39852 37.77444)
3754,134084,600-08390,PACIFIC AVE,POINT (-122.409615 37.796505)
3755,135821,500-05270,JACKSON ST,POINT (-122.40484 37.7962)
3756,136204,819-00140,BROADWAY,POINT (-122.398445 37.798996)
3758,144952,472-00370,HYDE ST,POINT (-122.41529 37.780228)
3760,145285,666-07100,SUTTER ST,POINT (-122.41236 37.788803)
3761,139950,324-03200,BATTERY ST,POINT (-122.400185 37.79474)
3762,136921,471-07450,HARRISON ST,POINT (-122.39853 37.7815)
3763,137535,650-07050,SACRAMENTO ST,POINT (-122.40492 37.793476)
3764,134028,324-11140,BATTERY ST,POINT (-122.40156 37.801537)
